Transaction Amount,Frequency,Time of Day,Location,Previous Transaction History,Historical Transaction Amount,Service Type,Provider,Risk
1200,4,Morning,City A,No,1100,Medical,Provider1,risk
800,2,Afternoon,City B,Yes,750,Consulting,Provider2,no-risk
1500,6,Evening,City A,Yes,1400,Surgical,Provider1,no-risk
600,3,Morning,City C,No,550,Dental,Provider3,risk
1000,5,Afternoon,City B,Yes,950,Medical,Provider2,no-risk
1800,7,Evening,City A,Yes,1700,Surgical,Provider1,no-risk
700,4,Morning,City C,Yes,650,Consulting,Provider3,no-risk
1300,6,Afternoon,City B,Yes,1200,Dental,Provider2,no-risk
900,3,Evening,City A,No,850,Medical,Provider1,risk
1600,5,Morning,City C,Yes,1500,Surgical,Provider3,no-risk
550,2,Afternoon,City B,Yes,500,Consulting,Provider2,no-risk
1100,7,Evening,City A,Yes,1050,Dental,Provider1,no-risk
750,4,Morning,City C,Yes,700,Medical,Provider3,no-risk
1400,6,Afternoon,City B,No,1300,Surgical,Provider2,risk
950,3,Evening,City A,Yes,900,Consulting,Provider1,no-risk
2000,5,Morning,City C,Yes,1900,Dental,Provider3,no-risk
850,2,Afternoon,City B,Yes,800,Medical,Provider2,no-risk
1700,7,Evening,City A,No,1600,Surgical,Provider1,risk
600,4,Morning,City C,Yes,550,Consulting,Provider3,no-risk
1200,6,Afternoon,City B,Yes,1100,Dental,Provider2,no-risk
800,3,Evening,City A,Yes,750,Medical,Provider1,no-risk
1500,5,Morning,City C,No,1400,Surgical,Provider3,risk
700,2,Afternoon,City B,Yes,650,Consulting,Provider2,no-risk
1300,7,Evening,City A,Yes,1200,Dental,Provider1,no-risk
900,4,Morning,City C,Yes,850,Medical,Provider3,no-risk
1600,6,Afternoon,City B,No,1500,Surgical,Provider2,risk
550,3,Evening,City A,Yes,500,Consulting,Provider1,no-risk
1100,5,Morning,City C,Yes,1050,Dental,Provider3,no-risk
750,2,Afternoon,City B,Yes,700,Medical,Provider2,no-risk
1400,7,Evening,City A,No,1300,Surgical,Provider1,risk
950,4,Morning,City C,Yes,900,Consulting,Provider3,no-risk
2000,6,Afternoon,City B,Yes,1900,Dental,Provider2,no-risk
850,3,Evening,City A,Yes,800,Medical,Provider1,no-risk
1700,5,Morning,City C,No,1600,Surgical,Provider3,risk
600,2,Afternoon,City B,Yes,550,Consulting,Provider2,no-risk
1200,7,Evening,City A,Yes,1100,Dental,Provider1,no-risk
800,4,Morning,City C,Yes,750,Medical,Provider3,no-risk
